"index","job_title","salary_estimate","rating","company_name","location","headquarters","workforce","founded","type_of_ownership","industry","sector","revenue","state"
131,"Senior Data Engineer","$90K-$109K ","4.9","Lendio
","Lehi, UT","Lehi, UT","201 to 500 ",2011,"Company - Private","Lending","Finance","$50 to $100 million (USD)","UT"
132,"Data Engineer","$90K-$109K ","4.4","Direct Agents
","Culver City, CA","New York, NY","51 to 200 ",2003,"Company - Private","Advertising & Marketing","Business Services","$25 to $50 million (USD)","CA"
133,"Data Scientist","$90K-$109K ","3.3","NAVEX Global
","Lake Oswego, OR","Lake Oswego, OR","1001 to 5000 ",2012,"Company - Private","Computer Hardware & Software","Information Technology","$100 to $500 million (USD)","OR"
134,"Machine Learning Engineer","$90K-$109K ","3.2","Triplebyte
","Remote","San Francisco, CA","51 to 200 ",2015,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Remote"
135,"Machine Learning Engineer","$90K-$109K ","3.2","Triplebyte
","Remote","San Francisco, CA","51 to 200 ",2015,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","Remote"
136,"Senior Data Engineer","$90K-$109K ","4.9","Lendio
","Lehi, UT","Lehi, UT","201 to 500 ",2011,"Company - Private","Lending","Finance","$50 to $100 million (USD)","UT"
137,"Data Scientist","$90K-$109K ","4.2","Upstart
","San Mateo, CA","San Mateo, CA","201 to 500 ",2012,"Company - Private","Lending","Finance","Unknown / Non-Applicable","CA"
138,"Data Analyst","$90K-$109K ","4.5","Envision LLC
","San Francisco, CA","Saint Louis, MO","201 to 500 ",1994,"Company - Private","Staffing & Outsourcing","Business Services","$25 to $50 million (USD)","CA"
139,"Data Engineer","$90K-$109K ","4.8","AppLovin
","Palo Alto, CA","Palo Alto, CA","201 to 500 ",2012,"Company - Private","Video Games","Media","Unknown / Non-Applicable","CA"
140,"Data Integration and Modeling Engineer","$90K-$109K ","3.8","ISO New England
","Holyoke, MA","Holyoke, MA","501 to 1000 ",1997,"Nonprofit Organization","Utilities","Oil, Gas, Energy & Utilities","Unknown / Non-Applicable","MA"
141,"Tableau Data Engineer 20-0117","$90K-$109K ","3.7","Relativity
","Chicago, IL","Chicago, IL","1001 to 5000 ",2001,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","IL"
142,"Senior Data Scientist","$90K-$109K ","3.3","Tempo Automation
","San Francisco, CA","San Francisco, CA","51 to 200 ",2013,"Company - Private","Electrical & Electronic Manufacturing","Manufacturing","$5 to $10 million (USD)","CA"
143,"AI Data Scientist","$90K-$109K ","3.3","MITRE
","McLean, VA","Bedford, MA","5001 to 10000 ",1958,"Nonprofit Organization","Federal Agencies","Government","$1 to $2 billion (USD)","VA"
144,"Machine Learning Engineer","$90K-$109K ","5","Expedition Technology, Inc.
","Herndon, VA","Dulles, VA","1 to 50 ",2013,"Company - Private","Aerospace & Defense","Aerospace & Defense","$10 to $25 million (USD)","VA"
145,"Research Scientist Patient Preferences (Remote)","$90K-$109K ","3.8","Evidera
","Bethesda, MD","Bethesda, MD","501 to 1000 ",2013,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","MD"
146,"Data Scientist","$90K-$109K ","3.4","Plymouth Rock Assurance
","Woodbridge, NJ","Boston, MA","1001 to 5000 ",1982,"Company - Private","Insurance Carriers","Insurance","$10 to $25 million (USD)","NJ"
147,"Scientist - Biomarker and Flow Cytometry","$90K-$109K ","2.4","Crown Bioscience
","San Diego, CA","San Diego, CA","501 to 1000 ",2006,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$50 to $100 million (USD)","CA"
148,"Data Scientist","$90K-$109K ","2.9","GNS Healthcare
","Cambridge, MA","Cambridge, MA","51 to 200 ",2000,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10 to $25 million (USD)","MA"
149,"Analytics Manager","$90K-$109K ","4.4","OneMagnify
","Dearborn, MI","Detroit, MI","201 to 500 ",1967,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","MI"
150,"Data Scientist","$90K-$109K ","2.9","SPECTRUM
","Maryland Heights, MO","Stamford, CT","10000+ ",2016,"Subsidiary or Business Segment","Cable, Internet & Telephone Providers","Telecommunications","$10+ billion (USD)","MO"
151,"Staff Scientist- Upstream PD","$90K-$109K ","2.7","Advanced BioScience Laboratories
","Rockville, MD","Rockville, MD","201 to 500 ",1961,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$50 to $100 million (USD)","MD"
152,"Data Engineer","$90K-$109K ","4.2","Procore Technologies
","Carpinteria, CA","Carpinteria, CA","1001 to 5000 ",2002,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","CA"
153,"Sr Scientist - Extractables & Leachables","$90K-$109K ","3.5","Ritedose
","Columbia, SC","Columbia, SC","201 to 500 ",1995,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","SC"
155,"Sr Data Scientist","$90K-$109K ","4.2","bioMérieux
","Saint Louis, MO","Marcy-l'Etoile, France","10000+ ",1963,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$2 to $5 billion (USD)","MO"
156,"Data Scientist","$101K-$165K ","4.5","Novetta
","Herndon, VA","Mc Lean, VA","501 to 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","VA"
157,"Experienced Data Scientist","$101K-$165K ","4.4","Guzman & Griffin Technologies (GGTI)
","Washington, DC","Mays Landing, NJ","1 to 50 ",1997,"Company - Private","Federal Agencies","Government","Unknown / Non-Applicable","DC"
158,"Machine Learning Engineer","$101K-$165K ","0","Radical Convergence","Reston, VA","Reston, VA","N/A",2017,"Company - Private","IT Services","Technology","-1","VA"
159,"Data Scientist","$101K-$165K ","3.5","Leidos
","Fort Meade, MD","Reston, VA","10000+ ",1969,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","MD"
160,"Data Scientist","$101K-$165K ","4.5","Demandbase
","San Francisco, CA","San Francisco, CA","201 to 500 ",2006,"Company - Private","Computer Hardware & Software","Information Technology","$100 to $500 million (USD)","CA"
161,"Say Business Data Analyst","$101K-$165K ","4.1","Shelter Insurance
","Columbia, MO","Columbia, MO","1001 to 5000 ",1946,"Company - Private","Insurance Carriers","Insurance","$1 to $2 billion (USD)","MO"
162,"Geospatial Data Scientist","$101K-$165K ","3.5","Maxar Technologies
","Chantilly, VA","Westminster, CO","5001 to 10000 ",2017,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","VA"
163,"Data Analyst","$101K-$165K ","2.7","USAC
","Washington, DC","Washington, DC","501 to 1000 ",1997,"Nonprofit Organization","Telecommunications Services","Telecommunications","$25 to $50 million (USD)","DC"
164,"Computational Scientist","$101K-$165K ","3.4","General Dynamics Information Technology
","Vicksburg, MS","Fairfax, VA","10000+ ",1996,"Subsidiary or Business Segment","IT Services","Information Technology","$10+ billion (USD)","MS"
165,"Data Scientist","$101K-$165K ","4.4","Offerpad
","Chandler, AZ","Chandler, AZ","201 to 500 ",2015,"Company - Private","Real Estate","Real Estate","Unknown / Non-Applicable","AZ"
166,"Senior Data Analyst","$101K-$165K ","4","Autodesk
","San Francisco, CA","San Rafael, CA","5001 to 10000 ",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","CA"
167,"Senior Data Analyst","$101K-$165K ","4.2","Autodesk
","San Francisco, CA","Herndon, VA","5001 to 10000 ",1968,"Company - Public","Research & Development","Business Services","$1 to $2 billion (USD)","CA"
168,"Data Engineer","$101K-$165K ","3.5","Magna International Inc.
","Birmingham, AL","Aurora, Canada","10000+ ",1957,"Company - Public","Motor Vehicle Manufacturing","Transportation","$10+ billion (USD)","AL"
169,"Sr Data Analyst","$101K-$165K ","2.3","United BioSource
","Blue Bell, PA","Blue Bell, PA","1001 to 5000 ",2003,"Other Organization","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","PA"
170,"Data Scientist","$101K-$165K ","3.4","Kelly
","Chicago, IL","Troy, MI","5001 to 10000 ",1946,"Company - Public","Staffing & Outsourcing","Business Services","$5 to $10 billion (USD)","IL"
171,"Machine Learning Scientist - Bay Area, CA","$101K-$165K ","3.3","Tempus Labs
","Redwood City, CA","Chicago, IL","501 to 1000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","CA"
172,"Data Scientist","$101K-$165K ","4.7","C3.ai
","Redwood City, CA","Redwood City, CA","201 to 500 ",2009,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","CA"
173,"Senior Data Scientist - Algorithms","$101K-$165K ","3.9","Quartet Health
","New York, NY","New York, NY","201 to 500 ",2014,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","NY"
174,"Data Analyst","$101K-$165K ","3.3","Midland Credit Management
","San Diego, CA","San Diego, CA","1001 to 5000 ",1953,"Subsidiary or Business Segment","Banks & Credit Unions","Finance","$1 to $2 billion (USD)","CA"
175,"Senior Data & Machine Learning Scientist","$101K-$165K ","3.3","Tempus Labs
","Chicago, IL","Chicago, IL","501 to 1000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","IL"
176,"Data Engineer","$101K-$165K ","4.4","Resurgent Capital Services
","Cincinnati, OH","Greenville, SC","201 to 500 ",1998,"Company - Private","Venture Capital & Private Equity","Finance","$50 to $100 million (USD)","OH"
177,"Data Scientist - Statistics, Early Career","$56K-$97K ","3.7","PNNL
","Richland, WA","Richland, WA","1001 to 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","WA"
178,"Data Scientist","$56K-$97K ","3.5","Buckman
","Memphis, TN","Memphis, TN","1001 to 5000 ",1945,"Company - Private","Chemical Manufacturing","Manufacturing","$500 million to $1 billion (USD)","TN"
179,"Machine Learning Engineer","$56K-$97K ","3.6","Buckman
","Memphis, TN","Arlington, VA","501 to 1000 ",1967,"Nonprofit Organization","Federal Agencies","Government","$50 to $100 million (USD)","TN"
180,"Research Scientist - Patient-Centered Research (Remote)","$56K-$97K ","3.8","Evidera
","Bethesda, MD","Bethesda, MD","501 to 1000 ",2013,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","MD"
181,"Jr. Business Data Analyst (position added 6/12/2020)","$56K-$97K ","4.7","webfx.com
","Harrisburg, PA","Harrisburg, PA","201 to 500 ",1997,"Company - Private","Advertising & Marketing","Business Services","$25 to $50 million (USD)","PA"
182,"Sr. Data Scientist II","$56K-$97K ","3.5","Argo Group US
","New York, NY","Hamilton, Bermuda","1001 to 5000 ",1948,"Company - Public","Insurance Carriers","Insurance","$1 to $2 billion (USD)","NY"
183,"Data Scientist","$56K-$97K ","3.3","BWX Technologies
","Oak Ridge, TN","Lynchburg, VA","5001 to 10000 ",1850,"Company - Public","Aerospace & Defense","Aerospace & Defense","$500 million to $1 billion (USD)","TN"
184,"Senior Data Analyst","$56K-$97K ","3.9","Life360
","San Francisco, CA","San Francisco, CA","51 to 200 ",2008,"Company - Public","Internet","Information Technology","Unknown / Non-Applicable","CA"
185,"Lead Data Scientist","$56K-$97K ","3.7","MassMutual
","Boston, MA","Springfield, MA","5001 to 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","MA"
186,"Production Engineer - Statistics/Data Analysis","$56K-$97K ","3.9","Natera
","San Carlos, CA","San Carlos, CA","501 to 1000 ",2004,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","CA"
187,"Statistical Scientist","$56K-$97K ","4","Genentech
","South San Francisco, CA","South San Francisco, CA","10000+ ",1976,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","CA"
188,"Computational Behavioral Scientist","$56K-$97K ","4.2","Ntrepid
","Herndon, VA","Herndon, VA","201 to 500 ",2010,"Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","VA"
189,"Principal Data Scientist - Machine Learning","$56K-$97K ","3.6","Constant Contact
","Waltham, MA","Waltham, MA","N/A",1995,"Subsidiary or Business Segment","Advertising & Marketing","Business Services","Unknown / Non-Applicable","MA"
190,"Principal Machine Learning Scientist","$56K-$97K ","4.7","Sage Intacct
","San Francisco, CA","San Jose, CA","501 to 1000 ",1999,"Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","CA"
191,"Data Engineer","$56K-$97K ","4.1","Shape Security
","Santa Clara, CA","Mountain View, CA","51 to 200 ",2011,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","CA"
192,"Principal Data Scientist","$56K-$97K ","4","AstraZeneca
","Gaithersburg, MD","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MD"
193,"Data Scientist","$56K-$97K ","5","SkillSoniq
","San Francisco, CA","Jersey City, NJ","N/A",2016,"Company - Public","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","CA"
194,"Senior Data Scientist - R&D Oncology","$56K-$97K ","4","AstraZeneca
","New York, NY","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","NY"
195,"Data Scientist","$56K-$97K ","4.3","Joby Aviation
","San Carlos, CA","Santa Cruz, CA","51 to 200 ",2009,"Company - Private","Aviation and Aerospace Component Manufacturing","Transportation","Unknown / Non-Applicable","CA"
196,"Health Plan Data Analyst, Sr","$56K-$97K ","3.8","Cook Children's Health Care System
","Fort Worth, TX","Fort Worth, TX","5001 to 10000 ",1918,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)","TX"
197,"Principal Scientist/Associate Director, Quality Control and Analytical Technologies","$56K-$97K ","3.8","Rubius Therapeutics
","Smithfield, RI","Cambridge, MA","201 to 500 ",2013,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","RI"
198,"Analytics - Business Assurance Data Analyst","$56K-$97K ","4.6","GreatAmerica Financial Services
","Cedar Rapids, IA","Cedar Rapids, IA","501 to 1000 ",1992,"Company - Private","Lending","Finance","$100 to $500 million (USD)","IA"
199,"Data Scientist - Contract","$79K-$106K ","4.1","Upside Business Travel
","Remote","Washington, DC","51 to 200 ",2015,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Remote"
200,"Data Scientist","$79K-$106K ","3.4","Spectrum Communications and Consulting
","Chicago, IL","Chicago, IL","51 to 200 ",1992,"Company - Private","Advertising & Marketing","Business Services","$10 to $25 million (USD)","IL"
201,"Data Scientist","$79K-$106K ","4.1","Coverent
","McLean, VA","McLean, VA","51 to 200 ",2008,"Company - Private","Consulting","Business Services","$10 to $25 million (USD)","VA"
202,"Machine Learning Engineer","$79K-$106K ","3.7","Mteq
","Fort Belvoir, VA","Lorton, VA","501 to 1000 ",1954,"Company - Public","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","VA"
203,"Data Engineer","$79K-$106K ","4.4","Rocket Lawyer
","San Francisco, CA","San Francisco, CA","51 to 200 ",2008,"Company - Private","Computer Hardware & Software","Information Technology","$50 to $100 million (USD)","CA"
204,"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab","$79K-$106K ","3.9","Novartis
","Cambridge, MA","Basel, Switzerland","10000+ ",1996,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MA"
205,"Data Engineer","$79K-$106K ","3.6","Alion Science & Technology
","Linthicum Heights, MD","Mc Lean, VA","1001 to 5000 ",2001,"Company - Private","Research & Development","Business Services","$1 to $2 billion (USD)","MD"
206,"Data Science Instructor","$79K-$106K ","4.5","Novetta
","Herndon, VA","Mc Lean, VA","501 to 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","VA"
207,"Senior Business Intelligence Analyst","$79K-$106K ","3.7","Protolabs
","Maple Plain, MN","Maple Plain, MN","1001 to 5000 ",1999,"Company - Public","Miscellaneous Manufacturing","Manufacturing","$100 to $500 million (USD)","MN"
208,"In-Line Inspection Data Analyst","$79K-$106K ","2.9","Quest Integrity
","Tulsa, OK","Kent, WA","201 to 500 ",1996,"Company - Public","Oil & Gas Services","Oil, Gas, Energy & Utilities","$50 to $100 million (USD)","OK"
209,"Data Scientist - TS/SCI FSP or CI Required","$79K-$106K ","5","Phoenix Operations Group
","Annapolis Junction, MD","Woodbine, MD","1 to 50 ",2011,"Company - Private","IT Services","Information Technology","$1 to $5 million (USD)","MD"
210,"Data Scientist","$79K-$106K ","3.4","Dice.com
","Newton, MA","Denver, CO","201 to 500 ",1990,"Subsidiary or Business Segment","Staffing & Outsourcing","Business Services","$100 to $500 million (USD)","MA"
211,"Senior Data Scientist","$79K-$106K ","3.5","Maxar Technologies
","Herndon, VA","Westminster, CO","5001 to 10000 ",2017,"Company - Public","Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)","VA"
212,"Data Scientist - TS/SCI Required","$79K-$106K ","5","Phoenix Operations Group
","Baltimore, MD","Woodbine, MD","1 to 50 ",2011,"Company - Private","IT Services","Information Technology","$1 to $5 million (USD)","MD"
213,"Data Science Software Engineer","$79K-$106K ","4.8","Klaviyo
","Boston, MA","Boston, MA","201 to 500 ",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","MA"
214,"ENGINEER - COMPUTER SCIENTIST - RESEARCH COMPUTER SCIENTIST - SIGNAL PROCESSING - SAN ANTONIO OR","$79K-$106K ","3.9","Southwest Research Institute
","Oklahoma City, OK","San Antonio, TX","1001 to 5000 ",1947,"Nonprofit Organization","Research & Development","Business Services","$500 million to $1 billion (USD)","OK"
215,"AI Ops Data Scientist","$79K-$106K ","4","AstraZeneca
","Gaithersburg, MD","Cambridge, United Kingdom","10000+ ",1913,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MD"
216,"Intelligence Data Analyst, Senior","$79K-$106K ","4.3","The Buffalo Group
","Fort Belvoir, VA","Reston, VA","501 to 1000 ",2010,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","VA"
217,"Analytics Manager - Data Mart","$79K-$106K ","3.5","Central California Alliance for Health
","Scotts Valley, CA","Scotts Valley, CA","501 to 1000 ",1996,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","$500 million to $1 billion (USD)","CA"
218,"Data Modeler (Analytical Systems)","$79K-$106K ","3.7","MassMutual
","Boston, MA","Springfield, MA","5001 to 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","MA"
219,"Senior Machine Learning Scientist - Bay Area, CA","$79K-$106K ","3.3","Tempus Labs
","Redwood City, CA","Chicago, IL","501 to 1000 ",2015,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","CA"
220,"Report Writer-Data Analyst","$79K-$106K ","3.1","Security Finance Corporation of Spartanburg
","Spartanburg, SC","Spartanburg, SC","1001 to 5000 ",1955,"Company - Private","Lending","Finance","Unknown / Non-Applicable","SC"
221,"Data Scientist/Machine Learning","$71K-$123K ","4.3","PulsePoint
","New York, NY","New York, NY","51 to 200 ",2011,"Company - Private","Internet","Information Technology","$100 to $500 million (USD)","NY"
222,"Data Scientist - Risk","$71K-$123K ","4.2","LSQ
","Orlando, FL","Orlando, FL","51 to 200 ",1996,"Company - Private","Investment Banking & Asset Management","Finance","$100 to $500 million (USD)","FL"
223,"Data Engineer","$71K-$123K ","4.4","Resurgent Capital Services
","Cincinnati, OH","Greenville, SC","201 to 500 ",1998,"Company - Private","Venture Capital & Private Equity","Finance","$50 to $100 million (USD)","OH"
224,"Staff Data Scientist - Pricing","$71K-$123K ","3.6","Opendoor
","San Francisco, CA","San Francisco, CA","501 to 1000 ",2014,"Company - Private","Real Estate","Real Estate","$2 to $5 billion (USD)","CA"
225,"Data Scientist","$71K-$123K ","4.5","Global Data Management Inc
","Hartford, CT","Woodbridge, NJ","51 to 200 ",2008,"Company - Private","IT Services","Information Technology","$5 to $10 million (USD)","CT"
226,"Data Scientist","$71K-$123K ","3","Photon Infotech
","Chicago, IL","Chennai, India","1001 to 5000 ",1999,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","IL"
228,"Machine Learning Engineer","$71K-$123K ","3.6","Riverside Research Institute
","Beavercreek, OH","Arlington, VA","501 to 1000 ",1967,"Nonprofit Organization","Federal Agencies","Government","$50 to $100 million (USD)","OH"
229,"Equity Data Insights Analyst - Quantitative Analyst","$71K-$123K ","3.6","T. Rowe Price
","Baltimore, MD","Baltimore, MD","5001 to 10000 ",1937,"Company - Public","Investment Banking & Asset Management","Finance","$2 to $5 billion (USD)","MD"
230,"Data Scientist","$71K-$123K ","0","Encode, Inc.","Norfolk, VA","Manalapan, NJ","1 to 50 ",1997,"Company - Private","IT Services","Information Technology","$5 to $10 million (USD)","VA"
231,"Research Scientist - Patient-Centered Research (Remote)","$71K-$123K ","3.8","Evidera
","Bethesda, MD","Bethesda, MD","501 to 1000 ",2013,"Subsidiary or Business Segment","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","MD"
232,"Data Scientist","$71K-$123K ","3.3","BWX Technologies
","Oak Ridge, TN","Lynchburg, VA","5001 to 10000 ",1850,"Company - Public","Aerospace & Defense","Aerospace & Defense","$500 million to $1 billion (USD)","TN"
233,"Operations Data Analyst","$71K-$123K ","3.8","Brighthouse Financial
","Charlotte, NC","Charlotte, NC","1001 to 5000 ",2017,"Company - Public","Insurance Carriers","Insurance","Unknown / Non-Applicable","NC"
234,"Sr. Data Scientist II","$71K-$123K ","3.5","Argo Group US
","New York, NY","Hamilton, Bermuda","1001 to 5000 ",1948,"Company - Public","Insurance Carriers","Insurance","$1 to $2 billion (USD)","NY"
235,"Data Scientist","$71K-$123K ","3.3","II-VI Incorporated
","Champaign, IL","Saxonburg, PA","10000+ ",1971,"Company - Public","Telecommunications Manufacturing","Telecommunications","$1 to $2 billion (USD)","IL"
236,"Data Scientist","$71K-$123K ","4.6","Surya Systems
","San Francisco, CA","Bristol, PA","1 to 50 ",1999,"Company - Private","Computer Hardware & Software","Information Technology","Less than $1 million (USD)","CA"
237,"Data Scientist","$71K-$123K ","3.8","PayPal
","Austin, TX","San Jose, CA","10000+ ",1998,"Company - Public","Internet","Information Technology","$10+ billion (USD)","TX"
238,"Senior Data Analyst","$71K-$123K ","3.9","Life360
","San Francisco, CA","San Francisco, CA","51 to 200 ",2008,"Company - Public","Internet","Information Technology","Unknown / Non-Applicable","CA"
239,"Data Scientist","$71K-$123K ","3.9","Predictive Research Inc
","Plano, TX","Bangalore, India","1 to 50 ",2011,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","TX"
240,"Data Scientist","$90K-$124K ","4.7","Oversight Systems
","Atlanta, GA","Atlanta, GA","51 to 200 ",2003,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","GA"
241,"Senior Research Statistician- Data Scientist","$90K-$124K ","4.8","Acuity Insurance
","Sheboygan, WI","Sheboygan, WI","1001 to 5000 ",1925,"Company - Private","Insurance Carriers","Insurance","$1 to $2 billion (USD)","WI"
242,"Software Data Engineer","$90K-$124K ","3.1","1010data
","New York, NY","New York, NY","201 to 500 ",2000,"Company - Private","Computer Hardware & Software","Information Technology","$50 to $100 million (USD)","NY"
243,"Data Scientist","$90K-$124K ","3.6","Gigya
","Palo Alto, CA","Mountain View, CA","201 to 500 ",2006,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)","CA"
244,"Real World Evidence (RWE) Scientist","$90K-$124K ","5","Genesis Research
","Hoboken, NJ","Hoboken, NJ","1 to 50 ",2009,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","NJ"
245,"Data Scientist","$90K-$124K ","3.7","Sanofi
","Cambridge, MA","Paris, France","10000+ ",1973,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","MA"
246,"Data Scientist","$90K-$124K ","3.7","XPO Logistics
","Lebanon, IN","Greenwich, CT","10000+ ",2011,"Company - Public","Transportation Management","Transportation & Logistics","$10+ billion (USD)","IN"
247,"Data Scientist","$90K-$124K ","3.9","Trace Data
","Oakland, CA","Santa Ana, CA","51 to 200 ",2000,"Company - Private","Insurance Carriers","Insurance","$10 to $25 million (USD)","CA"
248,"Data Scientist","$90K-$124K ","4.3","Descript
","San Francisco, CA","San Franciso, CA","1 to 50 ",2017,"Company - Private","Software Development","Technology","Less than $1 million (USD)","CA"
249,"Computer Scientist 1","$90K-$124K ","4.2","Rincon Research Corporation
","Melbourne, FL","Tucson, AZ","201 to 500 ",1983,"Company - Private","Aerospace & Defense","Aerospace & Defense","$50 to $100 million (USD)","FL"
250,"Lead Data Scientist","$90K-$124K ","3.7","MassMutual
","Boston, MA","Springfield, MA","5001 to 10000 ",1851,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","MA"
251,"Data Scientist","$90K-$124K ","4","Better Hire
","Birmingham, AL","Birmingham, AL","1 to 50 ",2006,"Company - Private","Staffing & Outsourcing","N/A","Unknown / Non-Applicable","AL"
252,"Data Scientist","$90K-$124K ","3.3","Parker Hannifin
","Cleveland, OH","Cleveland, OH","10000+ ",1917,"Company - Public","Industrial Manufacturing","Manufacturing","$10+ billion (USD)","OH"
253,"Data Scientist","$90K-$124K ","4.1","Gallup
","New York, NY","Washington, DC","1001 to 5000 ",1935,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","NY"
254,"Data Scientist","$90K-$124K ","3.3","Insider Inc
","New York, NY","New York, NY","201 to 500 ",2007,"Company - Private","News Outlet","Media","$50 to $100 million (USD)","NY"
255,"Data Scientist","$90K-$124K ","3.9","Rapid Value Solutions
","San Francisco, CA","Pleasanton, CA","201 to 500 ",2009,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","CA"
256,"Environmental Data Science","$90K-$124K ","3.1","Battelle
","Norwell, MA","Columbus, OH","10000+ ",1929,"Nonprofit Organization","Research & Development","Business Services","$5 to $10 billion (USD)","MA"
257,"Computational Behavioral Scientist","$90K-$124K ","4.2","Ntrepid
","Herndon, VA","Herndon, VA","201 to 500 ",2010,"Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","VA"
259,"Staff BI and Data Engineer","$90K-$124K ","2.9","Affinity Solutions
","San Jose, CA","New York, NY","51 to 200 ",1998,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","CA"
260,"Principal Machine Learning Scientist","$90K-$124K ","4.7","Sage Intacct
","San Francisco, CA","San Jose, CA","501 to 1000 ",1999,"Subsidiary or Business Segment","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","CA"
261,"Principal Data Scientist - Machine Learning","$90K-$124K ","3.6","Constant Contact
","Waltham, MA","Waltham, MA","N/A",1995,"Subsidiary or Business Segment","Advertising & Marketing","Business Services","Unknown / Non-Applicable","MA"
262,"Data Scientist-Human Resources","$91K-$150K ","3.8","MIT Lincoln Laboratory
","Lexington, MA","Lexington, MA","1001 to 5000 ",1951,"Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","MA"
